Subject	Module	Type	Total	Users	Views	Contributions
Additional Support	Assignment	Assessment	0	0	0	0
Additional Support	Blog	Communication	0	0	0	0
Additional Support	Book	Resource	0	0	0	0
Additional Support	Chat	Communciation	0	0	0	0
Additional Support	Choice	Assessment	0	0	0	0
Additional Support	Data	Collaboration	0	0	0	0
Additional Support	Feedback	Assessment	14	14	6	1
Additional Support	Folder	Resource	0	0	0	0
Additional Support	Forum	Communication	0	0	0	0
Additional Support	Glossary	Collaboration	0	0	0	0
Additional Support	Imscp	Resource	0	0	0	0
Additional Support	Label	Resource	0	0	0	0
Additional Support	Lesson	Assessment	0	0	0	0
Additional Support	Lightboxgallery	Resource	0	0	0	0
Additional Support	Message	Communication	0	0	0	0
Additional Support	Nln	Resource	0	0	0	0
Additional Support	Page	Resource	0	0	0	0
Additional Support	Quiz	Assessment	0	0	0	0
Additional Support	Resource	Resource	0	0	0	0
Additional Support	Scorm	Resource	0	0	0	0
Additional Support	Url	Resource	0	0	0	0
Additional Support	Wiki	Collaboration	0	0	0	0
Department for Foundation Studies	Assignment	Assessment	296	296	155	19
Department for Foundation Studies	Blog	Communication	39	39	37	2
Department for Foundation Studies	Book	Resource	1	1	0	0
Department for Foundation Studies	Chat	Communciation	92	92	49	6
Department for Foundation Studies	Choice	Assessment	1	1	1	0
Department for Foundation Studies	Data	Collaboration	0	0	0	0
